 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
919;2.323E-5;0.857;0.009;2.675;3.706;56.310;0.005;2.031;0.492;0.800
920;3.135E-4;0.411;0.042;7.511;3.699;169.992;0.014;3.627;0.276;0.659
921;1.858E-4;0.746;0.025;6.251;3.716;29.055;0.012;2.354;0.425;0.790
922;4.181E-4;0.820;0.031;9.128;3.713;22.620;0.021;1.476;0.678;0.894
923;2.032E-4;0.616;0.029;2.639;3.704;170.538;0.010;2.940;0.340;0.886
924;4.064E-5;1.000;0.010;5.610;3.718;45.000;0.007;1.596;0.626;0.875
925;3.019E-4;0.623;0.035;5.559;3.720;167.905;0.013;3.003;0.333;0.832
926;1.452E-4;0.821;0.020;6.443;3.716;165.964;0.012;1.430;0.699;0.847
927;5.226E-5;1.000;0.011;0.875;3.720;116.565;0.007;1.536;0.651;0.857
928;8.129E-5;1.000;0.012;3.981;3.725;126.870;0.010;1.020;0.981;0.933
929;1.161E-4;0.994;0.017;8.280;3.745;56.310;0.010;1.643;0.609;0.930
930;9.871E-5;0.649;0.021;4.210;3.747;35.538;0.009;2.927;0.342;0.756
931;8.710E-5;0.976;0.014;4.306;3.745;30.964;0.010;1.392;0.718;0.882
932;6.968E-5;1.000;0.012;5.641;3.737;126.870;0.010;1.135;0.881;0.857
933;9.813E-4;0.543;0.066;1.475;3.749;171.573;0.026;2.973;0.336;0.835
934;1.277E-4;1.000;0.015;9.241;3.749;128.660;0.012;1.083;0.923;0.936
935;5.226E-4;0.697;0.040;6.634;3.766;14.036;0.022;1.872;0.534;0.845
936;7.548E-5;1.000;0.012;10.080;3.752;126.870;0.010;1.159;0.863;0.897
937;2.903E-5;1.000;0.009;0.655;3.761;56.310;0.005;1.553;0.644;0.909
938;2.090E-4;0.693;0.027;1.402;3.757;169.695;0.010;2.788;0.359;0.889
939;0.001;0.625;0.057;1.058;3.757;112.249;0.044;1.376;0.727;0.841
940;8.768E-4;0.335;0.051;0.730;3.810;81.870;0.034;1.551;0.645;0.693
941;0.002;0.300;0.060;3.961;3.802;36.870;0.046;1.380;0.725;0.767
942;5.806E-6;1.000;0.003;4.412;3.761;135.000;0.002;1.000;1.000;1.000
943;2.032E-4;0.740;0.026;3.125;3.781;41.186;0.013;2.348;0.426;0.814
944;7.374E-4;0.305;0.057;4.087;3.805;33.024;0.028;2.364;0.423;0.623
945;1.452E-4;0.896;0.018;5.395;3.769;113.199;0.012;1.519;0.658;0.877
946;1.394E-4;1.000;0.016;5.793;3.783;63.435;0.012;1.144;0.874;0.889
947;2.090E-4;0.740;0.026;6.976;3.778;21.801;0.012;2.455;0.407;0.857
948;8.710E-5;0.976;0.014;1.590;3.771;149.036;0.010;1.474;0.678;0.882
949;8.129E-5;0.993;0.015;4.193;3.783;51.340;0.009;1.928;0.519;0.875
950;5.342E-4;0.799;0.035;3.022;3.773;102.095;0.023;1.477;0.677;0.864
951;6.968E-5;1.000;0.012;4.480;3.781;126.870;0.010;1.135;0.881;0.857
